indi,spp,location,site,date,month,amba,vcmax,jmax
Cs11,Cs,82A,1,128,5,10.33277664,42.464,80.236
Cs12,Cs,82A,1,128,5,9.707983616,41.412,83.444
Cs13,Cs,82A,1,128,5,9.669294577,42.69,89.502
Cs14,Cs,82A,1,128,5,9.821408654,42.166,89.413
Pa11,Pa,82A,1,128,5,18.0634066,74.523,173.196
Pa12,Pa,82A,1,128,5,17.42761551,76.497,147.825
Pa13,Pa,82A,1,128,5,16.66130307,82.612,181.527
Pa14,Pa,82A,1,128,5,18.98172351,89.127,173.134
Cs11,Cs,82A,1,206,7,3.488466657,,
Cs12,Cs,82A,1,206,7,8.342694365,30.756,69.89
Cs13,Cs,82A,1,206,7,3.99097733,14.892,49.665
Cs14,Cs,82A,1,206,7,6.08544957,22.385,61.395
Pa11,Pa,82A,1,206,7,19.4877905,79.927,193.625
Pa12,Pa,82A,1,206,7,13.83858106,53.758,119.019
Pa13,Pa,82A,1,206,7,20.71077128,79.461,170.035
Pa14,Pa,82A,1,206,7,20.50510785,83.319,160.744
Pa11,Pa,82A,1,288,10,21.0635857,100.659,246.736
Pa12,Pa,82A,1,288,10,15.10138326,71.364,168.8
Pa13,Pa,82A,1,288,10,18.87879737,89.352,217.063
Pa14,Pa,82A,1,288,10,18.81706847,78.918,174.252
Cs21,Cs,82A,2,128,5,5.593630972,,
Cs22,Cs,82A,2,128,5,12.6,,
Cs23,Cs,82A,2,128,5,12.92939322,59.813,116.32
Cs24,Cs,82A,2,128,5,6.782910611,30.318,75.391
Pa21,Pa,82A,2,128,5,15.5,,
Pa22,Pa,82A,2,128,5,15.4,,
Pa23,Pa,82A,2,128,5,20.29751103,99.112,190.046
Pa24,Pa,82A,2,128,5,12.66955185,61.6,132.664
Cs21,Cs,82A,2,206,7,2.339837319,,
Cs22,Cs,82A,2,206,7,3.762280083,,
Cs23,Cs,82A,2,206,7,1.512262037,19.52,56.287
Cs24,Cs,82A,2,206,7,4.715617846,19.105,54.172
Pa21,Pa,82A,2,206,7,14.59212934,66.73,153.948
Pa22,Pa,82A,2,206,7,12.94525242,57.515,125.38
Pa23,Pa,82A,2,206,7,19.33766613,74.805,160.204
Pa24,Pa,82A,2,206,7,12.10267956,51.718,125.095
Pa21,Pa,82A,2,288,10,16.60772317,78.719,173.818
Pa22,Pa,82A,2,288,10,17.20319967,83.102,153.241
Pa23,Pa,82A,2,288,10,20.44813688,93.931,205.326
Pa24,Pa,82A,2,288,10,17.21321954,79.206,178.963
