genotype,plant_id,spp,nTreatment,temp,phoper,aamb,amax,Carbon,ce,co2comp,co2sat,dr,D13C,lcp,LMA,lsp,jmax,Nitrogen,netqe,pnue,SLA,vcmax
cs22,cs22h,cs,high,25,14,5.273821004,20.36289454,51.23575527,0.045374725,47.21611793,595.1870898,-1.052852768,-28.73741631,25.42202288,0.007481132,178.4314276,102.725428,3.536228973,0.0344673,23.44708052,133.6696091,36.55655
cs1,cs1h,cs,high,25,14,5.44,21.4,48.70149586,0.086170821,44.11851791,292.4624447,-1.07,-30.55962056,20.47385312,0.006477273,148.8484048,95.00939471,2.506925588,0.042376,33.50157871,154.3859649,50.23451293
cs3,cs3h,cs,high,25,14,5.98,20.7,48.60489781,0.079449779,46.12772014,306.6696662,-0.98,-30.15524143,19.09945571,0.01,167.0460168,90.791922,2.945117541,0.04042,20.30479231,100,36.6869717
cs11,cs11h,cs,high,25,14,6.292704531,15.82604885,48.36674096,0.046988942,58.20370182,395.0073843,-1.306579784,-28.90557197,19.8008723,0.006360573,180.702765,62.96475,3.891499038,0.04472626,21.61489304,157.218543,23.48907
cs2,cs2h,cs,high,25,14,9.85,20.9,50.00399755,0.07428457,42.79442987,324.1449168,-1.06,-26.38116499,16.05068638,0.00614094,189.405139,107.9461263,2.601203683,0.05682,61.66333998,162.8415301,54.58820275
cs4,cs4h,cs,high,25,14,10,20.8,46.50137502,0.075197549,44.83621992,321.4409816,-1.09,-29.65971721,17.95834342,0.008008299,219.7828368,93.80238727,3.156983371,0.049548,39.55372951,124.8704663,51.4774951
cs6,cs6m,cs,med,25,14,6.553855792,14.71750186,32.69927575,0.090219114,58.7848318,221.9154715,-2.088919089,-29.11751225,21.07844763,0.009233653,155.2533318,69.1847377,2.165404595,0.048845623,47.5746754,108.2995038,28.2063737
cs1,cs1m,cs,med,25,14,7.05,15,50.33455047,0.02163851,51.98694089,745.1954879,-0.881,-27.29841991,25.6372403,0.005850388,264.3484032,67.0900465,2.3896209,0.0295336,50.42842782,170.9288299,31.7913345
cs3,cs3m,cs,med,25,14,10.4,20.6,48.25565275,0.066998859,49.93962375,357.4075464,-1.679254326,-28.97759336,4.53480245,0.00755414,271.7715742,91.8691674,2.360207611,0.0389168,67.24229271,132.3777403,49.0602464
cs22,cs22m,cs,med,25,14,11.46616375,18.82350037,48.62421389,0.063298433,50.18467156,411.2280818,-3.55435254,-28.04359473,36.23019363,0.00680721,349.6321538,52.4265383,1.805618999,0.036586126,162.5459433,146.9030733,94.303338
