genotype,spp,nTreatment,temp,phoper,aamb,Rd,jmax,Nitrogen,netqe,vcmax
cs22,cs,high,25,14,5.273821004,-1.052852768,102.725428,3.536228973,0.0344673,36.55655
cs1,cs,high,25,14,5.44,-1.07,95.00939471,2.506925588,0.042376,50.23451293
cs3,cs,high,25,14,5.98,-0.98,90.791922,2.945117541,0.04042,36.6869717
cs11,cs,high,25,14,6.292704531,-1.306579784,62.96475,3.891499038,0.04472626,23.48907
cs2,cs,high,25,14,9.85,-1.06,107.9461263,2.601203683,0.05682,54.58820275
cs4,cs,high,25,14,10,-1.09,93.80238727,3.156983371,0.049548,51.4774951
cs6,cs,med,25,14,6.553855792,-2.088919089,69.1847377,2.165404595,0.048845623,28.2063737
cs1,cs,med,25,14,7.05,-0.881,67.0900465,2.3896209,0.0295336,31.7913345
cs3,cs,med,25,14,10.4,-1.679254326,91.8691674,2.360207611,0.0389168,49.0602464
cs22,cs,med,25,14,11.46616375,-3.55435254,52.4265383,1.805618999,0.036586126,94.303338
cs4,cs,med,25,14,11.9,-0.712,106.8045631,2.793276491,0.048444,55.1117401
cs2,cs,med,25,14,13.1,-1.16,92.27946802,2.38806438,0.052704,47.59683782
cs22,cs,low,25,14,6.605914958,-0.547010056,71.8656414,1.710413412,0.034021474,60.345487
cs3,cs,low,25,14,6.67148745,-0.724078554,78.206661,2.96536797,0.040236432,44.2143036
cs1,cs,low,25,14,7.96,-1.13,53.1749631,2.103452051,0.052636,25.7855594
cs4,cs,low,25,14,9.73,-0.804,60.5869176,2.097230658,0.012308,27.1307957
cs2,cs,low,25,14,12.4,-1.14,80.3372337,5.064995355,0.063868,39.8232151
cs3,cs,low,25,14,13.5,-1.1,87.02243162,2.427194794,0.04864,47.13627003
cs6,cs,high,32,14,6.750783188,-1.282953526,70.328922,1.473417006,0.035455063,23.716019
cs11,cs,high,32,14,7.539024879,-0.908134801,68.9797252,3.28158564,0.029271397,19.6321526
cs3,cs,high,32,14,7.549938878,-0.572023776,43.133115,2.353561874,0.03717422,15.7981046
cs4,cs,high,32,14,7.629259636,-0.857542373,66.022219,2.252966822,0.036435698,29.26877
cs7,cs,high,32,14,9.383306081,-0.651302141,80.762997,2.574955267,0.034330871,31.9695113
cs22,cs,high,32,14,9.847370337,-0.976925623,46.219615,3.237888588,0.045572525,14.020123
cs6,cs,med,32,14,5.280970697,-1.225451008,50.1498426,2.26888797,0.038299542,12.8439908
cs11,cs,med,32,14,5.56168651,-0.761902439,49.5072034,1.928174535,0.032435695,17.5780821
cs4,cs,med,32,14,5.61375741,-0.423434079,48.888595,2.078762731,0.050071344,20.615601
cs22,cs,med,32,14,6.604775318,-1.418132676,76.7794695,2.586298537,0.031525089,27.0446851
cs3,cs,med,32,14,7.347957719,-0.607617042,51.4483959,2.053456253,0.02932116,17.6354192
cs7,cs,low,32,14,4.061964783,-1.302162182,65.05223703,1.751079273,0.036004646,21.57468066
cs3,cs,low,32,14,4.534487392,0.699430924,40.893663,2.515095572,0.039218066,17.3099113
cs11,cs,low,32,14,4.691682492,-0.918746334,48.65318,2.973258873,0.038078408,15.1651702
cs6,cs,low,32,14,4.828922457,0.194091309,45.277297,1.854593916,0.040289206,20.870828
cs22,cs,low,32,14,6.068216579,-0.988065087,37.7211629,1.91408748,0.041323039,9.3488916
cs4,cs,low,32,14,7.494714716,-1.300599047,63.2176678,2.117959815,0.041466172,30.1230664
cs7,cs,high,32,10,4.329564963,-1.242096503,95.08026,1.986661764,0.029718515,31.390282
cs6,cs,high,32,10,5.193809149,-1.093831972,51.126659,2.934183498,0.027980129,24.163425
cs4,cs,high,32,10,5.373661388,-0.999951256,91.195179,3.184724167,0.027613384,38.855448
cs22,cs,high,32,10,6.218329154,-1.249409394,73.214781,2.863770308,0.031398498,30.062897
cs11,cs,high,32,10,7.086915626,-1.105184887,79.580739,2.603910985,0.029163764,29.385184
cs3,cs,high,32,10,8.168148408,-0.873397201,105.491947,2.537327566,0.037268097,17.863348
cs6,cs,med,32,10,3.732311026,-1.116744288,51.64258,1.803937191,0.024755071,13.055708
cs3,cs,med,32,10,4.725179247,-0.69197377,48.708395,2.050372337,0.028608911,16.947411
cs4,cs,med,32,10,6.559180697,-1.252362028,86.142691,2.102755244,0.037927055,30.842088
cs11,cs,med,32,10,6.627793182,-1.314615449,41.5276813,2.243428203,0.027901266,12.9960456
cs7,cs,med,32,10,7.446869979,-1.337720582,80.2651355,2.641763051,0.017562947,25.753184
cs22,cs,med,32,10,7.799080229,-0.405848852,77.829472,3.070364457,0.031477505,29.8347636
cs7,cs,low,32,10,3.936699953,-1.654920116,36.5476101,1.873932597,0.029050023,9.207749
cs3,cs,low,32,10,3.975940827,-0.211125296,33.8091317,1.948961049,0.02412171,12.228817
cs11,cs,low,32,10,4.306479367,-2.681017926,34.3874296,2.040497939,0.034656916,15.4634295
cs4,cs,low,32,10,5.50823416,-1.442774319,71.4620897,1.565142403,0.024701053,26.2398684
cs22,cs,low,32,10,6.793688637,-1.756268706,44.2307563,2.096593324,0.050743689,17.8844356
cs6,cs,low,32,10,7.009919018,-1.671378111,44.580849,1.718468268,0.03906121,20.718257
pa15,pa,high,25,14,10.8,-0.66,135.1001375,5.339861015,0.0662,58.56256177
pa7,pa,high,25,14,10.98087379,-0.703468828,110.2175051,3.148964064,0.033104584,59.52659165
pa14,pa,high,25,14,13.00513798,-0.535038467,89.9247782,4.811910077,0.044167715,41.2294485
pa6,pa,high,25,14,14.9,-0.234,121.5827532,5.842495859,0.060608,62.0631338
pa,pa,high,25,14,15.6,-0.867,148.1237864,5.340969284,0.075164,69.4071543
pa5,pa,high,25,14,15.9,-1.17,119.3865616,5.478001747,0.061708,52.9458715
pa7,pa,med,25,14,8.33,-0.136,129.3954741,4.7627477,0.052472,57.3363365
pa6,pa,med,25,14,11.1,-0.863,108.1431989,4.260560958,0.066436,43.45870746
pa14,pa,med,25,14,11.8,-0.548,102.1033978,4.453506224,0.07172,107.0818024
pa5,pa,med,25,14,11.82030021,-0.547123631,109.133777,3.883927014,0.053876039,51.864488
pa,pa,med,25,14,12.4,-0.793,64.5256547,5.064995355,0.068596,26.6695141
pa6,pa,med,25,14,12.4,-0.793,108.2373926,2.097230658,0.068596,124.9026482
pa7,pa,low,25,14,8.63,-0.154,82.6610155,4.191933871,0.056928,37.0538692
pa14,pa,low,25,14,8.82,-0.617,82.4642405,3.421114748,0.015744,36.5075662
