STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN,AWND
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080101,6.6,0,-7.2,7.3
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080102,3,-5.6,-14.4,5.4
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080103,0,-7.2,-18.9,4.3
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080104,0,0,-8.3,5.8
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080105,1.8,3.9,0,5.1
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080106,0.8,15.6,3.3,5.4
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080107,36.1,18.3,11.1,6.6
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080108,45.7,14.4,2.8,6.1
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080109,0.8,3.9,0.6,4.4
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080110,8.1,7.2,0.6,5.1
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080111,0,5.6,0,6.3
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080112,0,4.4,-2.8,3.7
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080113,3.6,3.3,-1.1,4.3
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080114,0.8,-1.1,-5.6,5.4
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080115,0,-3.9,-9.4,4.3
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080116,0,1.7,-8.3,4.5
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080117,0.5,1.7,-8.9,6
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080118,0.3,-1.7,-11.1,7.3
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080119,0.3,-7.8,-17.2,6.5
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080120,0,-12.2,-19.4,6
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080121,0.3,-2.2,-14.4,4
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080122,1.8,-1.1,-12.8,7
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080123,1.3,-8.3,-15,3.7
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080124,2,-7.8,-19.4,4.8
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080125,0.8,-7.2,-21.7,3.6
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080126,0.8,-0.6,-7.2,4.5
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080127,0,-1.1,-9.4,2.9
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080128,2,6.7,-6.7,6.6
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080129,15.7,10.6,-12.2,7.8
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080130,0,-11.1,-17.2,7.2
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080131,2.8,-4.4,-13.9,3.3
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080201,8.1,-0.6,-6.1,4.3
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080202,0,0,-4.4,3.7
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080203,3,-0.6,-1.7,3.8
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080204,3.6,9.4,-0.6,4.1
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080205,19.6,7.8,1.1,3.7
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080206,12.2,1.7,-1.7,4.7
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080207,0,-1.1,-3.9,2.8
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080208,0.5,2.8,-2.8,3.4
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080209,4.6,1.7,-2.2,6
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080210,0,-2.2,-16.7,9.7
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080211,0.8,-10.6,-17.2,3.1
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080212,2.3,-7.8,-14.4,3.9
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080213,1,-3.9,-12.2,2.2
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080214,0,1.1,-11.7,5.4
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080215,0,1.1,-13.3,4.4
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080216,0,-0.6,-13.9,3.1
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080217,15.2,10,-1.1,7.2
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080218,0,0,-12.8,7.8
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080219,0,-8.9,-13.9,6.1
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080220,1,-5.6,-11.7,2.1
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080221,0,-4.4,-13.3,3.1
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080222,0,-0.6,-6.7,2.6
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080223,0,-1.1,-11.7,0.9
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080224,0,1.7,-10,2.6
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080225,4.6,0.6,-2.2,3.9
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080226,5.3,-0.6,-8.3,7.3
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080227,2,-5,-13.3,4.1
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080228,0.5,-3.9,-11.7,2.9
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20080229,1.8,3.3,-6.1,6.7
