plant_id,spp,nTreatment,temp,phoper,point,photo,cond,ci
cs2ahigh,cs,high,25,10,1,-1.831667615,0.45975014,11.88488393
cs2ahigh,cs,high,25,10,2,0.005548437,0.456059204,44.51692754
cs2ahigh,cs,high,25,10,3,1.219208878,0.456167308,73.16499354
cs2ahigh,cs,high,25,10,4,1.766566805,0.456256718,89.10483244
cs2ahigh,cs,high,25,10,5,3.848571067,0.457523367,127.71602
cs2ahigh,cs,high,25,10,6,5.085197362,0.452317047,169.3929662
cs2ahigh,cs,high,25,10,7,6.913188981,0.442304592,207.7199949
cs2ahigh,cs,high,25,10,8,8.338946046,0.437753629,247.3024012
cs2ahigh,cs,high,25,10,9,11.21214265,0.430547678,328.7978645
cs2ahigh,cs,high,25,10,10,15.1309615,0.416986383,500.55023
cs2ahigh,cs,high,25,10,11,17.1294259,0.391075176,676.8481247
cs2ahigh,cs,high,25,10,12,18.16295266,0.342932314,850.0113974
cs2ahigh,cs,high,25,10,13,18.7020799,0.297071833,1022.999599
cs2ahigh,cs,high,25,10,14,19.16789247,0.260967792,1388.344811
cs2ahigh,cs,high,25,10,15,19.45928643,0.236812015,1754.727654
cs3bhigh,cs,high,25,10,1,-1.78226049,0.322813843,14.71848275
cs3bhigh,cs,high,25,10,2,-0.202273513,0.29349946,42.34215308
cs3bhigh,cs,high,25,10,3,1.008418008,0.286045429,71.67916962
cs3bhigh,cs,high,25,10,4,1.406129116,0.27637706,86.65359845
cs3bhigh,cs,high,25,10,5,2.98309152,0.263588387,122.0403638
cs3bhigh,cs,high,25,10,6,3.994111664,0.238664828,158.9790856
cs3bhigh,cs,high,25,10,7,4.891652174,0.210955261,193.2833245
cs3bhigh,cs,high,25,10,8,5.994401938,0.206073265,229.0070952
cs3bhigh,cs,high,25,10,9,7.949576317,0.198336749,303.3898873
cs3bhigh,cs,high,25,10,10,11.57138346,0.194161367,455.1553489
cs3bhigh,cs,high,25,10,11,13.9823051,0.184531935,616.254652
cs3bhigh,cs,high,25,10,12,15.47693329,0.170808035,777.3848856
cs3bhigh,cs,high,25,10,13,16.35364969,0.159272635,945.8702427
cs3bhigh,cs,high,25,10,14,17.94469818,0.147160098,1294.355676
cs3bhigh,cs,high,25,10,15,18.3444075,0.126456984,1633.745008
cs4bhigh,cs,high,25,10,1,-1.142425285,0.104267705,24.33641948
cs4bhigh,cs,high,25,10,2,-0.175133586,0.122224856,43.55122109
cs4bhigh,cs,high,25,10,3,0.72502094,0.142668147,67.72442066
cs4bhigh,cs,high,25,10,4,1.324425074,0.164689242,80.12670195
cs4bhigh,cs,high,25,10,5,2.890186471,0.185693515,113.2459544
cs4bhigh,cs,high,25,10,6,4.426027624,0.195187941,146.5780102
cs4bhigh,cs,high,25,10,7,5.672565113,0.202404756,182.768723
cs4bhigh,cs,high,25,10,8,7.098908108,0.206756568,217.6683781
cs4bhigh,cs,high,25,10,9,9.693833158,0.213988475,290.8551614
cs4bhigh,cs,high,25,10,10,13.54887933,0.210512614,444.4743857
cs4bhigh,cs,high,25,10,11,15.82166927,0.204512946,608.8434171
cs4bhigh,cs,high,25,10,12,17.20256957,0.196493637,780.006482
cs4bhigh,cs,high,25,10,13,18.09346766,0.178757803,946.0312354
cs4bhigh,cs,high,25,10,14,19.28372159,0.162759186,1300.218514
cs4bhigh,cs,high,25,10,15,19.72979423,0.145387065,1649.907417
cs1bhigh,cs,high,25,10,1,-1.379889624,0.191301178,16.9049572
cs1bhigh,cs,high,25,10,2,-0.163188604,0.185712133,44.76852979
cs1bhigh,cs,high,25,10,3,0.382943121,0.195249877,74.68952703
cs1bhigh,cs,high,25,10,4,0.917384829,0.224891623,88.84818689
