plant_id,spp,nTreatment,temp,phoper,pfd,photo,cond,ci,,
cs4bhigh,cs,high,25,10,1200,8.207744044,0.158834224,285.7319037,,
cs4bhigh,cs,high,25,10,1000,8.369451778,0.156234024,282.1940917,,
cs4bhigh,cs,high,25,10,500,7.271483759,0.156283081,295.4484072,,
cs4bhigh,cs,high,25,10,200,5.108836794,0.159009635,323.4918183,,
cs4bhigh,cs,high,25,10,100,2.970728101,0.152148824,348.1177471,,
cs4bhigh,cs,high,25,10,75,1.974583637,0.131610723,357.1358126,, 
cs4bhigh,cs,high,25,10,50,1.291094359,0.117019454,365.0660122,,
cs4bhigh,cs,high,25,10,25,0.191722349,0.101839005,382.8123829,,
cs4bhigh,cs,high,25,10,0,-1.134709283,0.069217726,417.3927144,,
cs1bhigh,cs,high,25,10,1200,7.209630689,0.225318664,321.5409739,,
cs1bhigh,cs,high,25,10,1000,7.193246851,0.239015808,325.0539584,,
cs1bhigh,cs,high,25,10,500,6.333007079,0.250386134,334.7474558,,
cs1bhigh,cs,high,25,10,200,4.399740772,0.256016686,351.5759231,,
cs1bhigh,cs,high,25,10,100,2.587637221,0.253373347,365.9724103,,
cs1bhigh,cs,high,25,10,75,1.688166364,0.239464538,372.5014675,,
cs1bhigh,cs,high,25,10,50,0.996080476,0.227623624,377.9593063,,
cs1bhigh,cs,high,25,10,25,0.185090352,0.212223197,385.2768546,,
cs1bhigh,cs,high,25,10,0,-1.281686592,0.172148855,401.6290336,,
cs2ahigh,cs,high,25,10,1200,9.61610935,0.436159631,337.8883622,,
cs2ahigh,cs,high,25,10,1000,9.202687873,0.37650862,333.5286841,,
cs2ahigh,cs,high,25,10,500,7.248751845,0.34490339,341.3915389,,
cs2ahigh,cs,high,25,10,200,4.549145868,0.304555568,355.0509132,,
cs2ahigh,cs,high,25,10,100,2.580115575,0.284294754,367.8250208,,
cs2ahigh,cs,high,25,10,75,1.759079867,0.251352842,372.3157013,,
cs2ahigh,cs,high,25,10,50,0.827630807,0.232394931,379.4758871,,
cs2ahigh,cs,high,25,10,25,-0.132190412,0.216314325,388.2157215,,
cs2ahigh,cs,high,25,10,0,-1.137314985,0.206944214,398.4408557,,
cs3bhigh,cs,high,25,10,1200,8.488941004,0.399042619,339.4221195,,
cs3bhigh,cs,high,25,10,1000,8.307656998,0.381883741,338.6772326,,
cs3bhigh,cs,high,25,10,500,6.369962467,0.335223549,345.1859274,,
cs3bhigh,cs,high,25,10,200,4.238553146,0.303461757,356.6015969,,
cs3bhigh,cs,high,25,10,100,2.703445164,0.251918647,363.8612818,,
cs3bhigh,cs,high,25,10,75,1.982500832,0.235542075,368.9039985,,
cs3bhigh,cs,high,25,10,50,1.140323877,0.218501051,375.7131917,,
cs3bhigh,cs,high,25,10,25,0.279531543,0.200600323,383.820132,,
cs3bhigh,cs,high,25,10,0,-0.860115521,0.192655599,396.1176901,,
cs1high,cs,high,25,10,1200,7.045591391,0.103919585,268.0090278,,
cs1high,cs,high,25,10,1000,6.100852197,0.085005476,262.6939464,,
cs1high,cs,high,25,10,500,5.241063521,0.071249186,261.7175173,,
cs1high,cs,high,25,10,200,2.821468783,0.061542352,310.1964034,,
cs1high,cs,high,25,10,100,3.377087687,0.053113613,282.6861332,,
cs1high,cs,high,25,10,75,3.146667987,0.043965178,269.6147517,,
cs1high,cs,high,25,10,50,1.564003445,0.037371108,320.6355771,,
cs1high,cs,high,25,10,25,0.124406766,0.032280451,378.4442567,,
cs1high,cs,high,25,10,0,-0.239032062,0.027044568,398.8871849,,
cs2high,cs,high,25,10,1200,8.2007037,0.17526636,300.3015276,,
cs2high,cs,high,25,10,1000,7.369853384,0.152676087,299.2956914,,
cs2high,cs,high,25,10,500,6.534095827,0.131075449,296.564505,,
cs2high,cs,high,25,10,200,5.482702141,0.117407634,308.6524886,,
cs2high,cs,high,25,10,100,3.854552146,0.110921351,332.0907618,,
cs2high,cs,high,25,10,75,3.538837865,0.104941626,331.0289794,,
cs2high,cs,high,25,10,50,1.708956566,0.098904407,356.0568112,,
cs2high,cs,high,25,10,25,1.234003295,0.091927432,366.4063429,,
cs2high,cs,high,25,10,0,0.059995868,0.075405888,390.0018028,,
cs2clow,cs,low,25,10,1200,10.75989651,0.322765638,316.4820503,,
cs2clow,cs,low,25,10,1000,10.34755059,0.321081605,318.6065422,,
cs2clow,cs,low,25,10,500,8.385496124,0.312704463,330.0895634,,
cs2clow,cs,low,25,10,200,5.347376854,0.303189278,349.4106161,,
cs2clow,cs,low,25,10,100,3.07681568,0.282344352,363.7869028,,
cs2clow,cs,low,25,10,75,2.074737342,0.234593569,368.2656886,,
cs2clow,cs,low,25,10,50,1.473712872,0.195425389,371.1747151,,
cs2clow,cs,low,25,10,25,0.263247993,0.176331063,383.3475155,,
cs2clow,cs,low,25,10,0,-1.012508655,0.159839338,399.1275435,,
cs3alow,cs,low,25,10,1200,10.84944808,0.420165362,329.5772917,,
cs3alow,cs,low,25,10,1000,10.37561074,0.35044617,322.5556278,,
cs3alow,cs,low,25,10,500,8.43795178,0.30599278,327.5465635,,
cs3alow,cs,low,25,10,200,5.549691991,0.264189782,342.0098127,,
cs3alow,cs,low,25,10,100,3.237289324,0.225707142,356.1640864,,
cs3alow,cs,low,25,10,75,2.356230032,0.198101325,361.3567605,,
cs3alow,cs,low,25,10,50,1.495621499,0.187053397,369.5720121,,
cs3alow,cs,low,25,10,25,0.365579716,0.166870576,381.7278259,,
cs3alow,cs,low,25,10,0,-0.989916271,0.153762162,399.3162281,,
cs4clow,cs,low,25,10,1200,8.945112919,0.342229257,329.5512851,,
cs4clow,cs,low,25,10,1000,8.587099193,0.288313686,322.9341712,,
cs4clow,cs,low,25,10,500,6.764086023,0.274617916,333.9952729,,
cs4clow,cs,low,25,10,200,4.649243844,0.255131863,348.1421933,,
cs4clow,cs,low,25,10,100,2.6569968,0.222754069,361.8138583,,
cs4clow,cs,low,25,10,75,2.048570963,0.182891783,363.7154756,,
cs4clow,cs,low,25,10,50,1.220086613,0.164960567,371.7130393,,
cs4clow,cs,low,25,10,25,0.370416208,0.150209646,382.1140562,,
